NX*NY*NZ   relax_time        find_min_time     user_time   bandwidth_relax (GB/s)    bandwidth_min (GB/s)
     8,    4.05311584E-06,   5.96046448E-06,   .010,         .65,                      .17
    16,    5.96046448E-06,   1.50203705E-05,   .010,         .86,                      .27
    32,    7.39097595E-06,   2.67028809E-05,   .009,         1.4,                      .61
    64,    1.40666962E-05,   6.48498535E-05,   .010,         1.5,                     1.01
   128,    2.19345093E-05,   1.91688538E-04,   .010,         1.8,                     1.36
   256,    3.60012054E-05,   5.91754913E-04,   .010,         2.3,                     1.78
   512,    7.70092010E-05,   1.93762779E-03,   .012,         2.2,                     2.16
  1024,    1.33037567E-04,   5.98335266E-03,   .016,         2.6,                     2.81
  2048,    2.32219696E-04,   1.86817646E-02,   .029,         2.9,                     3.59
  4096,    7.59601593E-04,   6.43024445E-02,   .079,         1.7,                     4.17
  8192,    1.75476074E-03,   0.258591890,      .271,         1.5,                     4.15
 16384,    3.84759903E-03,   1.01081610,      1.026,         1.4,                     4.25
 32768,    7.56835938E-03,   3.88301539,      3.870,         1.4,                     4.43
 65536,    1.33197308E-02,   12.7408009,     12.773,         1.6,                     5.41
131072,    2.80163288E-02,   51.2605705,     51.380,         1.5,                     5.36
262144,    7.49638081E-02,   211.056061,    211.202,         1.1,                     5.21
